# STATION: CVBC1
# STATION NAME: CATHEYS VALLEY
# LATITUDE: 37.380240
# LONGITUDE: -120.076970
# ELEVATION [ft]: 1234.0
# STATE: CA
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,solar_radiation_set_1,precip_accum_set_1,water_temp_set_1,peak_wind_speed_set_1,fuel_temp_set_1,fuel_moisture_set_1,volt_set_1,snow_interval_set_1,peak_wind_direction_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d
,,Fahrenheit,%,Miles/hour,Degrees,Miles/hour,W/m**2,Inches,Fahrenheit,Miles/hour,Fahrenheit,gm,volts,Inches,Degrees,Fahrenheit,code,Fahrenheit,Fahrenheit
CVBC1,12/31/2022 23:27 PST,45.0,100.0,5.0,220.0,21.0,0.0,9.95,,21.0,72.0,,12.5,,293.0,,SW,,45.0
CVBC1,01/01/2023 00:27 PST,44.0,100.0,11.0,184.0,14.01,0.0,9.96,,14.01,68.0,,12.5,,212.0,,S,,44.0
CVBC1,01/01/2023 01:27 PST,44.0,100.0,5.0,162.0,13.0,0.0,9.97,,13.0,69.0,,12.5,,171.0,,SSE,,44.0
CVBC1,01/01/2023 02:27 PST,45.0,100.0,2.0,71.0,9.0,0.0,10.04,,9.0,68.0,,12.5,,160.0,,ENE,,45.0
CVBC1,01/01/2023 03:27 PST,45.0,100.0,7.0,32.0,11.0,0.0,10.13,,11.0,67.0,,12.5,,31.0,,NNE,,45.0
CVBC1,01/01/2023 04:27 PST,44.0,97.0,1.0,73.0,14.01,0.0,10.15,,14.01,65.0,,12.5,,37.0,,ENE,,43.19
CVBC1,01/01/2023 05:27 PST,45.0,92.0,3.0,116.0,5.0,0.0,10.15,,5.0,73.0,,12.5,,106.0,,ESE,,42.79
CVBC1,01/01/2023 06:27 PST,44.0,97.0,0.0,,5.99,0.0,10.16,,5.99,73.0,,12.5,,331.0,,,,43.19
CVBC1,01/01/2023 07:27 PST,44.0,98.0,3.0,316.0,5.99,1.0,10.16,,5.99,71.0,,12.5,,103.0,,NW,,43.46
CVBC1,01/01/2023 08:27 PST,44.0,100.0,13.0,328.0,16.0,13.0,10.16,,16.0,71.0,,12.5,,326.0,,NNW,,44.0
CVBC1,01/01/2023 09:27 PST,46.0,97.0,5.0,23.0,14.99,134.0,10.16,,14.99,105.0,,14.0,,349.0,,NNE,,45.19
CVBC1,01/01/2023 10:27 PST,46.0,96.0,9.0,316.0,11.0,288.0,10.16,,11.0,105.0,,13.6,,314.0,,NW,,44.91
CVBC1,01/01/2023 11:27 PST,45.0,97.0,9.0,329.0,13.0,174.0,10.16,,13.0,103.0,,13.4,,332.0,,NNW,,44.19
CVBC1,01/01/2023 12:27 PST,45.0,98.0,10.0,320.0,14.01,166.0,10.16,,14.01,101.0,,13.4,,309.0,,NW,,44.46
CVBC1,01/01/2023 13:27 PST,47.0,90.0,11.0,326.0,14.01,179.0,10.16,,14.01,89.0,,13.6,,333.0,,NW,,44.19
CVBC1,01/01/2023 14:27 PST,50.0,79.0,9.0,346.0,17.0,371.0,10.16,,17.0,128.0,,13.8,,322.0,,NNW,,43.68
CVBC1,01/01/2023 15:27 PST,52.0,74.0,5.0,11.0,14.99,324.0,10.16,,14.99,,,13.7,,337.0,,N,,43.89
CVBC1,01/01/2023 16:27 PST,50.0,74.0,7.0,354.0,13.0,125.0,10.16,,13.0,90.0,25.2,13.8,,336.0,,N,,41.95
CVBC1,01/01/2023 17:27 PST,48.0,80.0,1.0,144.0,5.0,8.0,10.16,,5.0,83.0,25.5,13.2,,4.0,,SE,,42.06
CVBC1,01/01/2023 18:27 PST,47.0,83.0,2.0,107.0,3.0,0.0,10.16,,3.0,78.0,25.6,13.0,,120.0,,ESE,,42.05
CVBC1,01/01/2023 19:27 PST,46.0,87.0,3.0,152.0,5.0,0.0,10.16,,5.0,75.0,25.6,12.9,,176.0,,SSE,,42.3
CVBC1,01/01/2023 20:27 PST,45.0,92.0,5.0,119.0,7.0,0.0,10.16,,7.0,65.0,26.1,12.8,,107.0,,ESE,,42.79
CVBC1,01/01/2023 21:27 PST,46.0,84.0,4.0,146.0,8.0,0.0,10.16,,8.0,67.0,26.0,12.8,,166.0,,SE,,41.38
CVBC1,01/01/2023 22:27 PST,44.0,90.0,5.0,113.0,9.0,0.0,10.16,,9.0,54.0,26.5,12.7,,107.0,,ESE,,41.22
CVBC1,01/01/2023 23:27 PST,42.0,94.0,5.0,112.0,9.0,0.0,10.16,,9.0,60.0,,12.7,,109.0,,ESE,,40.38
CVBC1,01/02/2023 00:27 PST,41.0,94.0,4.0,130.0,10.0,0.0,10.16,,10.0,67.0,,12.7,,156.0,,SE,,39.38
CVBC1,01/02/2023 01:27 PST,41.0,93.0,5.0,115.0,11.0,0.0,10.16,,11.0,71.0,,12.7,,161.0,,ESE,,39.11
CVBC1,01/02/2023 02:27 PST,39.0,95.0,5.0,120.0,8.0,0.0,10.16,,8.0,80.0,,12.6,,90.0,,ESE,,37.67
CVBC1,01/02/2023 03:27 PST,40.0,94.0,5.99,120.0,9.0,0.0,10.16,,9.0,67.0,,12.6,,105.0,,ESE,,38.39
CVBC1,01/02/2023 04:27 PST,41.0,92.0,5.99,96.0,13.0,0.0,10.16,,13.0,70.0,,12.6,,116.0,,E,,38.83
CVBC1,01/02/2023 05:27 PST,41.0,92.0,5.0,117.0,12.0,0.0,10.16,,12.0,58.0,,12.6,,102.0,,ESE,,38.83
CVBC1,01/02/2023 06:27 PST,41.0,90.0,2.0,107.0,7.0,0.0,10.16,,7.0,53.0,,12.7,,103.0,,ESE,,38.26
CVBC1,01/02/2023 07:27 PST,41.0,88.0,3.0,94.0,7.0,2.0,10.16,,7.0,54.0,,12.6,,124.0,,E,,37.68
CVBC1,01/02/2023 08:27 PST,42.0,87.0,8.0,225.0,14.99,67.0,10.16,,14.99,56.0,,13.0,,250.0,,SW,,38.37
CVBC1,01/02/2023 09:27 PST,43.0,84.0,5.99,102.0,11.0,135.0,10.16,,11.0,58.0,,13.4,,96.0,,ESE,,38.44
CVBC1,01/02/2023 10:27 PST,46.0,71.0,3.0,135.0,16.0,165.0,10.16,,16.0,65.0,,13.6,,107.0,,SE,,37.02
CVBC1,01/02/2023 11:27 PST,47.0,70.0,10.0,176.0,16.0,230.0,10.16,,16.0,55.0,26.5,13.7,,159.0,,S,,37.62
CVBC1,01/02/2023 12:27 PST,46.0,68.0,10.0,180.0,19.0,114.0,10.16,,19.0,52.0,26.6,13.5,,156.0,,S,,35.92
CVBC1,01/02/2023 13:27 PST,46.0,71.0,14.01,168.0,23.0,123.0,10.16,,23.0,53.0,25.5,13.4,,164.0,,SSE,,37.02
CVBC1,01/02/2023 14:27 PST,47.0,65.0,11.0,150.0,22.0,77.0,10.16,,22.0,52.0,25.2,13.4,,165.0,,SSE,,35.72
CVBC1,01/02/2023 15:27 PST,47.0,63.0,12.0,154.0,23.0,31.0,10.16,,23.0,53.0,26.1,13.2,,126.0,,SSE,,34.93
CVBC1,01/02/2023 16:27 PST,47.0,61.0,10.0,170.0,19.0,18.0,10.16,,19.0,50.0,21.9,13.0,,162.0,,S,,34.11
CVBC1,01/02/2023 17:27 PST,43.0,77.0,14.99,165.0,29.0,1.0,10.18,,29.0,45.0,22.2,12.9,,180.0,,SSE,,36.2
CVBC1,01/02/2023 18:27 PST,42.0,91.0,10.0,148.0,31.0,0.0,10.27,,31.0,48.0,26.7,12.8,,150.0,,SSE,,39.53
CVBC1,01/02/2023 19:27 PST,41.0,91.0,14.99,130.0,28.0,0.0,10.29,,28.0,45.0,26.8,12.7,,136.0,,SE,,38.54
CVBC1,01/02/2023 20:27 PST,42.0,88.0,10.0,124.0,26.0,0.0,10.31,,26.0,44.0,26.9,12.7,,140.0,,SE,,38.66
CVBC1,01/02/2023 21:27 PST,45.0,78.0,12.0,134.0,22.0,0.0,10.31,,22.0,46.0,26.8,12.7,,140.0,,SE,,38.48
CVBC1,01/02/2023 22:27 PST,46.0,78.0,13.0,140.0,24.0,0.0,10.31,,24.0,47.0,26.8,12.6,,151.0,,SE,,39.45
CVBC1,01/02/2023 23:27 PST,45.0,83.0,8.0,123.0,21.0,0.0,10.31,,21.0,48.0,26.7,12.6,,139.0,,ESE,,40.09
CVBC1,01/03/2023 00:27 PST,44.0,92.0,5.99,99.0,14.01,0.0,10.34,,14.01,47.0,26.8,12.6,,81.0,,E,,41.8
CVBC1,01/03/2023 01:27 PST,44.0,88.0,10.0,115.0,17.0,0.0,10.34,,17.0,46.0,26.8,12.6,,109.0,,ESE,,40.63
CVBC1,01/03/2023 02:27 PST,46.0,83.0,5.99,114.0,17.0,0.0,10.34,,17.0,47.0,26.7,12.6,,120.0,,ESE,,41.07
CVBC1,01/03/2023 03:27 PST,46.0,81.0,4.0,103.0,11.0,0.0,10.34,,11.0,48.0,26.7,12.6,,91.0,,ESE,,40.43
CVBC1,01/03/2023 04:27 PST,46.0,84.0,7.0,112.0,12.0,0.0,10.34,,12.0,50.0,26.6,12.6,,122.0,,ESE,,41.38
CVBC1,01/03/2023 05:27 PST,46.0,86.0,4.0,103.0,12.0,0.0,10.34,,12.0,49.0,26.7,12.6,,123.0,,ESE,,42.0
CVBC1,01/03/2023 06:27 PST,47.0,82.0,5.0,145.0,10.0,0.0,10.34,,10.0,46.0,26.8,12.6,,130.0,,SE,,41.73
CVBC1,01/03/2023 07:27 PST,47.0,80.0,5.0,145.0,12.0,2.0,10.34,,12.0,49.0,26.7,12.6,,144.0,,SE,,41.08
CVBC1,01/03/2023 08:27 PST,46.0,86.0,3.0,124.0,7.0,40.0,10.34,,7.0,51.0,26.6,12.7,,135.0,,SE,,42.0
CVBC1,01/03/2023 09:27 PST,49.0,79.0,2.0,128.0,5.0,123.0,10.34,,5.0,51.0,26.6,14.2,,180.0,,SE,,42.7
CVBC1,01/03/2023 10:27 PST,50.0,84.0,7.0,248.0,14.01,372.0,10.34,,14.01,67.0,26.0,13.7,,224.0,,WSW,,45.3
CVBC1,01/03/2023 11:27 PST,52.0,79.0,4.0,212.0,8.0,365.0,10.34,,8.0,61.0,19.9,14.1,,227.0,,SSW,,45.62
CVBC1,01/03/2023 12:27 PST,54.0,70.0,7.0,133.0,12.0,388.0,10.34,,12.0,63.0,16.9,13.7,,116.0,,SE,,44.35
CVBC1,01/03/2023 13:27 PST,54.0,69.0,8.0,158.0,13.0,253.0,10.34,,13.0,58.0,16.7,13.7,,169.0,,SSE,,43.97
CVBC1,01/03/2023 14:27 PST,56.0,65.0,10.0,160.0,16.0,255.0,10.34,,16.0,60.0,15.6,13.9,,154.0,,SSE,,44.3
CVBC1,01/03/2023 15:27 PST,54.0,76.0,7.0,222.0,14.99,164.0,10.34,,14.99,55.0,15.6,13.5,,175.0,,SW,,46.53
CVBC1,01/03/2023 16:27 PST,52.0,79.0,5.0,212.0,9.0,54.0,10.34,,9.0,52.0,17.8,13.3,,202.0,,SSW,,45.62
CVBC1,01/03/2023 17:27 PST,51.0,82.0,2.0,256.0,8.0,4.0,10.34,,8.0,50.0,19.4,13.1,,207.0,,WSW,,45.64
CVBC1,01/03/2023 18:27 PST,50.0,86.0,3.0,120.0,5.99,0.0,10.34,,5.99,49.0,20.7,12.9,,130.0,,ESE,,45.93
CVBC1,01/03/2023 19:27 PST,49.0,85.0,2.0,128.0,7.0,0.0,10.34,,7.0,48.0,21.8,12.8,,112.0,,SE,,44.64
CVBC1,01/03/2023 20:27 PST,49.0,85.0,5.99,118.0,10.0,0.0,10.34,,10.0,48.0,22.4,12.7,,123.0,,ESE,,44.64
CVBC1,01/03/2023 21:27 PST,48.0,85.0,5.0,115.0,12.0,0.0,10.34,,12.0,46.0,24.2,12.7,,119.0,,ESE,,43.66
CVBC1,01/03/2023 22:27 PST,48.0,86.0,2.0,108.0,10.0,0.0,10.34,,10.0,46.0,24.9,12.6,,121.0,,ESE,,43.97
CVBC1,01/03/2023 23:27 PST,49.0,76.0,3.0,139.0,5.99,0.0,10.34,,5.99,45.0,25.6,12.6,,138.0,,SE,,41.69
CVBC1,01/04/2023 00:27 PST,47.0,78.0,5.99,104.0,10.0,0.0,10.34,,10.0,45.0,23.5,12.6,,113.0,,ESE,,40.42
CVBC1,01/04/2023 01:27 PST,47.0,74.0,5.0,121.0,10.0,0.0,10.34,,10.0,45.0,21.8,12.6,,107.0,,ESE,,39.05
CVBC1,01/04/2023 02:27 PST,47.0,71.0,4.0,84.0,9.0,0.0,10.34,,9.0,45.0,20.3,12.6,,102.0,,E,,37.99
CVBC1,01/04/2023 03:27 PST,48.0,61.0,2.0,94.0,7.0,0.0,10.34,,7.0,46.0,18.2,12.6,,80.0,,E,,35.06
CVBC1,01/04/2023 04:27 PST,53.0,39.0,8.0,163.0,14.99,0.0,10.34,,14.99,51.0,16.2,12.6,,157.0,,SSE,,28.52
CVBC1,01/04/2023 05:27 PST,57.0,26.0,11.0,131.0,23.0,0.0,10.34,,23.0,54.0,13.6,12.6,,135.0,,SE,,22.27
CVBC1,01/04/2023 06:27 PST,56.0,29.0,12.0,182.0,19.0,0.0,10.34,,19.0,55.0,11.7,12.6,,133.0,,S,,24.0
CVBC1,01/04/2023 07:27 PST,51.0,50.0,10.0,157.0,17.0,0.0,10.34,,17.0,50.0,11.5,12.6,,165.0,,SSE,,32.85
CVBC1,01/04/2023 08:27 PST,52.0,63.0,13.0,153.0,27.0,6.0,10.37,,27.0,48.0,14.0,12.6,,164.0,,SSE,,39.68
CVBC1,01/04/2023 09:27 PST,53.0,63.0,19.0,120.0,34.99,40.0,10.41,,34.99,51.0,18.6,12.8,,134.0,,ESE,,40.63
CVBC1,01/04/2023 10:27 PST,58.0,51.0,17.0,135.0,32.0,223.0,10.41,,32.0,58.0,16.6,13.5,,135.0,,SE,,39.84
CVBC1,01/04/2023 11:27 PST,64.0,43.0,19.0,159.0,33.0,353.0,10.41,,33.0,68.0,14.0,14.2,,148.0,,SSE,,40.93
