# STATION: EPWC1
# STATION NAME: EL PORTAL
# LATITUDE: 37.675330
# LONGITUDE: -119.787920
# ELEVATION [ft]: 2073.0
# STATE: CA
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,solar_radiation_set_1,precip_accum_set_1,water_temp_set_1,peak_wind_speed_set_1,fuel_temp_set_1,fuel_moisture_set_1,volt_set_1,snow_interval_set_1,peak_wind_direction_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d
,,Fahrenheit,%,Miles/hour,Degrees,Miles/hour,W/m**2,Inches,Fahrenheit,Miles/hour,Fahrenheit,gm,volts,Inches,Degrees,Fahrenheit,code,Fahrenheit,Fahrenheit
EPWC1,01/01/2023 00:51 UTC,48.0,98.0,1.0,165.0,8.0,2.0,21.01,,8.0,48.0,26.4,13.0,,97.0,,SSE,,47.46
EPWC1,01/01/2023 01:51 UTC,48.0,98.0,2.0,204.0,5.0,0.0,21.12,,5.0,48.0,26.4,13.0,,223.0,,SSW,,47.46
EPWC1,01/01/2023 02:51 UTC,48.0,98.0,1.0,329.0,5.99,0.0,21.31,,5.99,47.0,26.5,13.0,,153.0,,NNW,,47.46
EPWC1,01/01/2023 03:51 UTC,48.0,99.0,1.0,3.0,5.0,0.0,21.48,,5.0,48.0,26.5,13.0,,332.0,,N,,47.73
EPWC1,01/01/2023 04:51 UTC,48.0,99.0,1.0,266.0,4.0,0.0,21.58,,4.0,48.0,26.5,13.0,,11.0,,W,,47.73
EPWC1,01/01/2023 05:51 UTC,47.0,96.0,0.0,,18.0,0.0,21.99,,18.0,47.0,26.5,13.0,,269.0,,,,45.91
EPWC1,01/01/2023 06:51 UTC,47.0,98.0,1.0,254.0,4.0,0.0,22.18,,4.0,46.0,26.5,13.0,,279.0,,WSW,,46.46
EPWC1,01/01/2023 07:51 UTC,46.0,98.0,0.0,,2.0,0.0,22.23,,2.0,45.0,26.4,13.0,,270.0,,,,45.46
EPWC1,01/01/2023 08:51 UTC,45.0,99.0,0.0,,5.0,0.0,22.23,,5.0,45.0,26.5,13.0,,246.0,,,,44.73
EPWC1,01/01/2023 09:51 UTC,45.0,99.0,0.0,,3.0,0.0,22.24,,3.0,45.0,26.5,13.0,,108.0,,,,44.73
EPWC1,01/01/2023 10:51 UTC,43.0,95.0,0.0,,8.0,0.0,22.32,,8.0,42.0,26.5,13.0,,227.0,,,,41.65
EPWC1,01/01/2023 11:51 UTC,42.0,98.0,0.0,,4.0,0.0,22.42,,4.0,42.0,26.5,13.0,,231.0,,,,41.47
EPWC1,01/01/2023 12:51 UTC,41.0,98.0,0.0,,2.0,0.0,22.45,,2.0,41.0,26.5,13.0,,6.0,,,,40.47
EPWC1,01/01/2023 13:51 UTC,41.0,98.0,0.0,,0.0,0.0,22.47,,0.0,41.0,26.6,13.0,,19.0,,,,40.47
EPWC1,01/01/2023 14:51 UTC,41.0,98.0,0.0,,0.0,0.0,22.48,,0.0,40.0,26.6,13.0,,95.0,,,,40.47
EPWC1,01/01/2023 15:51 UTC,41.0,99.0,0.0,,3.0,3.0,22.48,,3.0,40.0,26.6,13.0,,107.0,,,,40.74
EPWC1,01/01/2023 16:51 UTC,41.0,99.0,0.0,,2.0,43.0,22.48,,2.0,41.0,26.6,13.2,,193.0,,,,40.74
EPWC1,01/01/2023 17:51 UTC,45.0,97.0,0.0,,4.0,106.0,22.48,,4.0,49.0,25.8,13.8,,238.0,,,,44.19
EPWC1,01/01/2023 18:51 UTC,51.0,78.0,2.0,98.0,5.0,309.0,22.48,,5.0,58.0,24.9,13.7,,133.0,,E,,44.31
EPWC1,01/01/2023 19:51 UTC,54.0,67.0,2.0,196.0,5.99,546.0,22.48,,5.99,62.0,24.6,13.7,,102.0,,SSW,,43.19
EPWC1,01/01/2023 20:51 UTC,57.0,59.0,2.0,178.0,5.0,536.0,22.48,,5.0,67.0,24.6,13.7,,232.0,,S,,42.7
EPWC1,01/01/2023 21:51 UTC,56.0,63.0,2.0,179.0,5.0,483.0,22.48,,5.0,65.0,23.6,13.6,,181.0,,S,,43.47
EPWC1,01/01/2023 22:51 UTC,57.0,63.0,1.0,198.0,7.0,409.0,22.48,,7.0,63.0,22.8,13.8,,254.0,,SSW,,44.42
EPWC1,01/01/2023 23:51 UTC,48.0,82.0,0.0,,5.99,67.0,22.48,,5.99,47.0,23.7,13.6,,250.0,,,,42.71
EPWC1,01/02/2023 00:51 UTC,45.0,92.0,0.0,,2.0,12.0,22.48,,2.0,42.0,24.1,13.4,,346.0,,,,42.79
EPWC1,01/02/2023 01:51 UTC,42.0,97.0,0.0,,2.0,1.0,22.48,,2.0,40.0,24.6,13.3,,305.0,,,,41.2
EPWC1,01/02/2023 02:51 UTC,42.0,98.0,0.0,,3.0,0.0,22.48,,3.0,41.0,25.2,13.3,,74.0,,,,41.47
EPWC1,01/02/2023 03:51 UTC,42.0,79.0,1.0,84.0,5.0,0.0,22.48,,5.0,38.0,24.9,13.2,,81.0,,E,,35.89
EPWC1,01/02/2023 04:51 UTC,38.0,85.0,0.0,,3.0,0.0,22.48,,3.0,35.0,25.1,13.2,,337.0,,,,33.84
EPWC1,01/02/2023 05:51 UTC,36.0,85.0,0.0,,3.0,0.0,22.48,,3.0,32.0,25.3,13.1,,346.0,,,,31.87
EPWC1,01/02/2023 06:51 UTC,35.0,83.0,0.0,,4.0,0.0,22.48,,4.0,31.0,25.3,13.1,,334.0,,,,30.3
EPWC1,01/02/2023 07:51 UTC,34.0,79.0,0.0,,3.0,0.0,22.48,,3.0,30.0,25.4,13.1,,344.0,,,,28.09
EPWC1,01/02/2023 08:51 UTC,36.0,68.0,0.0,,5.0,0.0,22.48,,5.0,30.0,25.4,13.1,,84.0,,,,26.34
EPWC1,01/02/2023 09:51 UTC,39.0,53.0,1.0,54.0,8.0,0.0,22.48,,8.0,32.0,25.5,13.0,,81.0,,NE,,23.14
EPWC1,01/02/2023 10:51 UTC,38.0,53.0,1.0,85.0,8.0,0.0,22.48,,8.0,32.0,25.4,13.0,,98.0,,E,,22.21
EPWC1,01/02/2023 11:51 UTC,34.0,72.0,1.0,284.0,5.0,0.0,22.48,,5.0,30.0,25.2,13.0,,76.0,,WNW,,25.82
EPWC1,01/02/2023 12:51 UTC,33.0,75.0,0.0,,4.0,0.0,22.48,,4.0,30.0,25.3,13.0,,85.0,,,,25.85
EPWC1,01/02/2023 13:51 UTC,37.0,55.0,0.0,,7.0,0.0,22.48,,7.0,33.0,25.5,13.0,,142.0,,,,22.16
