# STATION: JSDC1
# STATION NAME: JERSEYDALE
# LATITUDE: 37.543730
# LONGITUDE: -119.839700
# ELEVATION [ft]: 3762.0
# STATE: CA
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,solar_radiation_set_1,precip_accum_set_1,water_temp_set_1,peak_wind_speed_set_1,fuel_temp_set_1,fuel_moisture_set_1,volt_set_1,snow_interval_set_1,air_temp_high_24_hour_set_1,air_temp_low_24_hour_set_1,peak_wind_direction_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d
,,Fahrenheit,%,Miles/hour,Degrees,Miles/hour,W/m**2,Inches,Fahrenheit,Miles/hour,Fahrenheit,gm,volts,Inches,Fahrenheit,Fahrenheit,Degrees,Fahrenheit,code,Fahrenheit,Fahrenheit
JSDC1,01/01/2023 00:47 UTC,46.0,100.0,14.01,151.0,26.0,2.0,16.26,,26.0,46.0,26.8,12.8,,,,167.0,,SSE,,46.0
JSDC1,01/01/2023 01:47 UTC,46.0,100.0,14.01,150.0,28.0,0.0,16.44,,28.0,46.0,26.8,12.8,,,,161.0,,SSE,,46.0
JSDC1,01/01/2023 02:47 UTC,45.0,100.0,13.0,150.0,29.0,0.0,16.62,,29.0,45.0,26.8,12.8,,,,153.0,,SSE,,45.0
JSDC1,01/01/2023 03:47 UTC,45.0,100.0,12.0,146.0,29.0,0.0,16.98,,29.0,45.0,26.8,12.8,,,,168.0,,SE,,45.0
JSDC1,01/01/2023 04:47 UTC,45.0,100.0,13.0,145.0,29.0,0.0,17.23,,29.0,45.0,26.8,12.8,,,,165.0,,SE,,45.0
JSDC1,01/01/2023 05:47 UTC,42.0,100.0,7.0,187.0,23.0,0.0,17.57,,23.0,42.0,26.9,12.8,,,,193.0,,S,,42.0
JSDC1,01/01/2023 06:47 UTC,39.0,100.0,5.0,150.0,13.0,0.0,17.62,,13.0,40.0,26.9,12.8,,,,150.0,,SSE,,39.0
JSDC1,01/01/2023 07:47 UTC,39.0,100.0,5.0,156.0,10.0,0.0,17.65,,10.0,39.0,26.9,12.8,,,,144.0,,SSE,,39.0
JSDC1,01/01/2023 08:47 UTC,38.0,100.0,5.99,148.0,14.99,0.0,17.66,,14.99,38.0,26.9,12.8,,,,163.0,,SSE,,38.0
JSDC1,01/01/2023 09:47 UTC,36.0,100.0,5.0,160.0,13.0,0.0,17.67,,13.0,37.0,26.9,12.8,,,,150.0,,SSE,,36.0
JSDC1,01/01/2023 10:47 UTC,36.0,100.0,4.0,182.0,9.0,0.0,17.67,,9.0,36.0,26.9,12.8,,,,156.0,,S,,36.0
JSDC1,01/01/2023 11:47 UTC,36.0,100.0,4.0,225.0,7.0,0.0,17.67,,7.0,36.0,26.9,12.8,,,,162.0,,SW,,36.0
JSDC1,01/01/2023 12:47 UTC,34.0,100.0,3.0,6.0,8.0,0.0,17.67,,8.0,34.0,26.9,12.8,,,,349.0,,N,,34.0
JSDC1,01/01/2023 13:47 UTC,34.0,100.0,5.99,330.0,10.0,0.0,17.67,,10.0,34.0,27.0,12.8,,,,343.0,,NNW,,34.0
