# STATION: TT468
# STATION NAME: CALFIRE PORTABLE 44
# LATITUDE: 37.464300
# LONGITUDE: -119.947400
# ELEVATION [ft]: 3456.0
# STATE: CA
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,solar_radiation_set_1,precip_accum_set_1,peak_wind_speed_set_1,fuel_temp_set_1,fuel_moisture_set_1,volt_set_1,peak_wind_direction_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d
,,Fahrenheit,%,Miles/hour,Degrees,Miles/hour,W/m**2,Inches,Miles/hour,Fahrenheit,gm,volts,Degrees,Fahrenheit,code,Fahrenheit,Fahrenheit
TT468,04/22/2021 10:14 PDT,73.0,35.0,1.0,147.0,5.0,663.0,10.4,5.0,80.0,7.7,13.2,266.0,,SSE,,43.67
TT468,07/15/2021 15:14 PDT,97.0,19.0,1.0,223.0,8.0,982.0,0.0,8.0,106.0,5.3,13.1,143.0,,SW,93.52,48.24
TT468,07/15/2021 16:14 PDT,96.0,18.0,1.0,195.0,5.99,793.0,0.0,5.99,100.0,5.0,13.6,115.0,,SSW,92.17,45.99
TT468,07/15/2021 17:14 PDT,93.0,18.0,1.0,203.0,5.99,140.0,0.0,5.99,89.0,5.1,13.1,202.0,,SSW,89.03,43.51
TT468,07/15/2021 18:14 PDT,91.0,19.0,1.0,288.0,5.99,49.0,0.0,5.99,86.0,5.0,13.0,130.0,,WNW,87.19,43.25
TT468,07/15/2021 19:14 PDT,88.0,20.0,1.0,300.0,5.99,37.0,0.0,5.99,83.0,5.1,12.9,315.0,,WNW,84.51,42.08
TT468,07/15/2021 20:14 PDT,83.0,25.0,0.0,,5.0,16.0,0.0,5.0,78.0,5.0,12.9,324.0,,,80.83,43.62
TT468,07/15/2021 21:14 PDT,74.0,36.0,0.0,,2.0,1.0,0.0,2.0,70.0,4.9,12.9,224.0,,,,45.3
TT468,07/15/2021 22:14 PDT,71.0,38.0,0.0,,4.0,0.0,0.0,4.0,67.0,5.0,12.8,291.0,,,,44.04
TT468,07/15/2021 23:14 PDT,70.0,40.0,0.0,,3.0,0.0,0.0,3.0,65.0,5.0,12.7,299.0,,,,44.48
TT468,07/16/2021 00:14 PDT,67.0,44.0,0.0,,2.0,0.0,0.0,2.0,63.0,5.2,12.7,339.0,,,,44.27
TT468,07/16/2021 01:14 PDT,67.0,42.0,0.0,,5.0,0.0,0.0,5.0,63.0,5.3,12.7,300.0,,,,43.05
TT468,07/16/2021 02:14 PDT,65.0,45.0,0.0,,5.0,0.0,0.0,5.0,61.0,5.5,12.6,297.0,,,,43.03
TT468,07/16/2021 03:14 PDT,64.0,44.0,0.0,,4.0,0.0,0.0,4.0,61.0,5.7,12.7,284.0,,,,41.53
TT468,07/16/2021 04:14 PDT,64.0,41.0,0.0,,3.0,0.0,0.0,3.0,60.0,5.8,12.6,321.0,,,,39.7
TT468,07/16/2021 05:14 PDT,62.0,41.0,1.0,213.0,4.0,0.0,0.0,4.0,59.0,6.0,12.7,320.0,,SSW,,37.89
TT468,07/16/2021 06:14 PDT,62.0,42.0,0.0,,3.0,2.0,0.0,3.0,58.0,6.1,12.7,206.0,,,,38.51
TT468,07/16/2021 07:14 PDT,64.0,41.0,1.0,227.0,4.0,19.0,0.0,4.0,61.0,6.3,12.7,319.0,,SW,,39.7
TT468,07/16/2021 08:14 PDT,69.0,41.0,0.0,,2.0,45.0,0.0,2.0,65.0,6.6,12.9,211.0,,,,44.23
TT468,07/16/2021 09:14 PDT,85.0,23.0,1.0,174.0,4.0,166.0,0.0,4.0,80.0,6.9,13.1,123.0,,S,82.21,43.16
