# STATION: WWNC1
# STATION NAME: WAWONA
# LATITUDE: 37.534470
# LONGITUDE: -119.644970
# ELEVATION [ft]: 4309.0
# STATE: CA
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,solar_radiation_set_1,precip_accum_set_1,water_temp_set_1,peak_wind_speed_set_1,fuel_temp_set_1,fuel_moisture_set_1,volt_set_1,snow_interval_set_1,peak_wind_direction_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d
,,Fahrenheit,%,Miles/hour,Degrees,Miles/hour,W/m**2,Inches,Fahrenheit,Miles/hour,Fahrenheit,gm,volts,Inches,Degrees,Fahrenheit,code,Fahrenheit,Fahrenheit
WWNC1,01/01/2021 00:51 UTC,41.0,81.0,1.0,123.0,7.0,26.0,4.56,,7.0,38.0,15.0,13.5,,138.0,,ESE,,35.55
WWNC1,01/01/2021 01:51 UTC,37.0,88.0,0.0,,4.0,1.0,4.56,,4.0,33.0,16.7,13.3,,145.0,,,,33.73
WWNC1,01/01/2021 02:51 UTC,33.0,93.0,1.0,357.0,3.0,0.0,4.56,,3.0,31.0,18.9,13.3,,234.0,,N,,31.17
WWNC1,01/01/2021 03:51 UTC,33.0,97.0,0.0,,4.0,0.0,4.56,,4.0,32.0,20.5,13.2,,17.0,,,,32.23
WWNC1,01/01/2021 04:51 UTC,32.0,96.0,0.0,,2.0,0.0,4.56,,2.0,30.0,21.1,13.1,,156.0,,,,30.97
WWNC1,01/01/2021 05:51 UTC,30.0,98.0,1.0,284.0,3.0,0.0,4.56,,3.0,27.0,21.6,13.1,,40.0,,WNW,,29.5
WWNC1,01/01/2021 06:51 UTC,29.0,98.0,0.0,,3.0,0.0,4.56,,3.0,26.0,22.4,13.0,,151.0,,,,28.5
WWNC1,01/01/2021 07:51 UTC,28.0,99.0,0.0,,2.0,0.0,4.56,,2.0,25.0,22.8,13.0,,3.0,,,,27.75
WWNC1,01/01/2021 08:51 UTC,27.0,98.0,1.0,339.0,3.0,0.0,4.56,,3.0,24.0,23.0,13.0,,18.0,,NNW,,26.5
WWNC1,01/01/2021 09:51 UTC,26.0,98.0,0.0,,2.0,0.0,4.56,,2.0,23.0,23.5,12.9,,5.0,,,,25.51
WWNC1,01/01/2021 10:51 UTC,26.0,97.0,0.0,,2.0,0.0,4.56,,2.0,23.0,23.3,12.9,,145.0,,,,25.25
WWNC1,01/01/2021 11:51 UTC,25.0,97.0,0.0,,2.0,0.0,4.56,,2.0,22.0,23.0,12.9,,0.0,,,,24.26
WWNC1,01/01/2021 12:51 UTC,24.0,94.0,0.0,,3.0,0.0,4.56,,3.0,21.0,23.3,12.9,,20.0,,,,22.5
WWNC1,01/01/2021 13:51 UTC,24.0,95.0,0.0,,3.0,0.0,4.56,,3.0,21.0,23.4,12.8,,143.0,,,,22.76
WWNC1,01/01/2021 14:51 UTC,23.0,93.0,0.0,,3.0,0.0,4.56,,3.0,20.0,23.1,12.8,,147.0,,,,21.25
WWNC1,01/01/2021 15:51 UTC,23.0,90.0,1.0,27.0,2.0,4.0,4.56,,2.0,21.0,23.2,12.8,,34.0,,NNE,,20.47
WWNC1,01/01/2021 16:51 UTC,28.0,88.0,1.0,149.0,3.0,45.0,4.56,,3.0,27.0,23.9,13.0,,148.0,,SSE,,24.86
WWNC1,01/01/2021 17:51 UTC,38.0,77.0,0.0,,3.0,227.0,4.56,,3.0,39.0,22.8,14.0,,148.0,,,,31.35
WWNC1,01/01/2021 18:51 UTC,44.0,53.0,2.0,206.0,3.0,239.0,4.56,,3.0,44.0,19.7,13.8,,210.0,,SSW,,27.8
WWNC1,01/01/2021 19:51 UTC,50.0,37.0,3.0,224.0,5.0,233.0,4.56,,5.0,49.0,19.6,14.0,,238.0,,SW,,24.55
WWNC1,01/01/2021 20:51 UTC,53.0,30.0,3.0,177.0,7.0,233.0,4.56,,7.0,55.0,17.1,13.8,,152.0,,S,,22.19
