# STATION: YNWC1
# STATION NAME: YNP PORTABLE
# LATITUDE: 37.730030
# LONGITUDE: -119.611310
# ELEVATION [ft]: 3633.0
# STATE: CA
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,solar_radiation_set_1,precip_accum_set_1,peak_wind_speed_set_1,fuel_temp_set_1,fuel_moisture_set_1,volt_set_1,peak_wind_direction_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d
,,Fahrenheit,%,Miles/hour,Degrees,Miles/hour,W/m**2,Inches,Miles/hour,Fahrenheit,gm,volts,Degrees,Fahrenheit,code,Fahrenheit,Fahrenheit
YNWC1,01/23/2022 21:02 UTC,54.0,37.0,0.0,,2.0,236.0,0.0,2.0,,,12.9,162.0,,,,28.13
YNWC1,01/24/2022 21:02 UTC,54.0,40.0,1.0,178.0,3.0,234.0,0.0,3.0,,,13.0,188.0,,S,,30.04
YNWC1,01/25/2022 21:02 UTC,53.0,36.0,3.0,195.0,5.99,237.0,0.0,5.99,,,12.9,173.0,,SSW,,26.56
YNWC1,01/26/2022 21:02 UTC,52.0,36.0,2.0,171.0,3.0,223.0,0.0,3.0,,,12.9,178.0,,S,,25.67
YNWC1,01/27/2022 21:02 UTC,54.0,36.0,2.0,167.0,3.0,224.0,0.0,3.0,,,12.7,128.0,,SSE,,27.46
YNWC1,01/30/2022 21:02 UTC,54.0,31.0,2.0,184.0,5.0,263.0,0.0,5.0,,,13.0,160.0,,S,,23.85
YNWC1,02/01/2022 21:02 UTC,50.0,52.0,4.0,226.0,9.0,241.0,0.0,9.0,,,12.9,220.0,,SW,,32.91
YNWC1,02/02/2022 21:02 UTC,51.0,22.0,1.0,278.0,4.0,607.0,0.0,4.0,,,13.3,175.0,,W,,13.29
YNWC1,02/03/2022 21:02 UTC,53.0,38.0,3.0,204.0,5.99,281.0,0.0,5.99,,,12.9,236.0,,SSW,,27.88
YNWC1,02/04/2022 21:02 UTC,54.0,29.0,4.0,214.0,5.99,276.0,0.0,5.99,,,12.9,203.0,,SW,,22.26
YNWC1,02/06/2022 21:02 UTC,62.0,21.0,4.0,209.0,5.0,299.0,0.0,5.0,,,12.6,212.0,,SSW,,21.48
YNWC1,02/07/2022 21:02 UTC,62.0,27.0,2.0,168.0,4.0,298.0,0.0,4.0,,,12.7,163.0,,SSE,,27.49
YNWC1,02/08/2022 21:02 UTC,62.0,31.0,2.0,190.0,4.0,300.0,0.0,4.0,,,12.6,167.0,,S,,30.87
