Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,snow_depth_set_1,solar_radiation_set_1,precip_accum_set_1,peak_wind_speed_set_1,fuel_temp_set_1,fuel_moisture_set_1,volt_set_1,snow_interval_set_1,peak_wind_direction_set_1,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d,dew_point_temperature_set_1d
YNWC1,01/23/2022 21:02 UTC,54,37,0,,2,236,0,2,,,12.9,162,,,,28.13,,
YNWC1,01/24/2022 21:02 UTC,54,40,1,178,3,234,0,3,,,13,188,,S,,30.04,,
YNWC1,01/25/2022 21:02 UTC,53,36,3,195,5.99,237,0,5.99,,,12.9,173,,SSW,,26.56,,
YNWC1,01/26/2022 21:02 UTC,52,36,2,171,3,223,0,3,,,12.9,178,,S,,25.67,,
YNWC1,01/27/2022 21:02 UTC,54,36,2,167,3,224,0,3,,,12.7,128,,SSE,,27.46,,
YNWC1,01/30/2022 21:02 UTC,54,31,2,184,5,263,0,5,,,13,160,,S,,23.85,,
YNWC1,02/01/2022 21:02 UTC,50,52,4,226,9,241,0,9,,,12.9,220,,SW,,32.91,,
YNWC1,02/02/2022 21:02 UTC,51,22,1,278,4,607,0,4,,,13.3,175,,W,,13.29,,
YNWC1,02/03/2022 21:02 UTC,53,38,3,204,5.99,281,0,5.99,,,12.9,236,,SSW,,27.88,,
YNWC1,02/04/2022 21:02 UTC,54,29,4,214,5.99,276,0,5.99,,,12.9,203,,SW,,22.26,,
YNWC1,02/06/2022 21:02 UTC,62,21,4,209,5,299,0,5,,,12.6,212,,SSW,,21.48,,
YNWC1,02/07/2022 21:02 UTC,62,27,2,168,4,298,0,4,,,12.7,163,,SSE,,27.49,,
YNWC1,02/08/2022 21:02 UTC,62,31,2,190,4,300,0,4,,,12.6,167,,S,,30.87,,
YNWC1,02/10/2022 21:02 UTC,69,26,2,156,4,319,0,4,,,12.5,177,,SSE,,32.6,,
YNWC1,02/11/2022 21:02 UTC,68,23,3,193,7,323,0,7,,,12.5,204,,SSW,,28.73,,
YNWC1,02/12/2022 21:02 UTC,67,28,2,156,4,284,0,4,,,12.4,176,,SSE,,32.71,,
YNWC1,02/13/2022 21:02 UTC,68,22,2,117,3,341,0,3,,,12.6,182,,ESE,,27.65,,
YNWC1,02/14/2022 21:02 UTC,65,23,5,209,9,350,0,9,,,12.6,195,,SSW,,26.18,,
