relative_humidity_set_1,wind_speed_set_1,dew_point_temperature_set_1d,peak_wind_direction_set_1
37,0,28.13,162
40,1,30.04,188
36,3,26.56,173
36,2,25.67,178
36,2,27.46,128
31,2,23.85,160
52,4,32.91,220
22,1,13.29,175
38,3,27.88,236
29,4,22.26,203
21,4,21.48,212
27,2,27.49,163
31,2,30.87,167
26,2,32.6,177
23,3,28.73,204
28,2,32.71,176
22,2,27.65,182
23,5,26.18,195
51,5,29.64,242
29,4,23.13,208
24,4,21.24,215
22,3,22.58,226
18,3,21.2,216
23,3,21.09,215
45,5,24.74,215
46,5.99,27.1,209
45,5,24.74,215
49,4,24.03,230
43,4,21.82,225
30,5,19.57,235
22,3,17.51,229
16,2,20.91,163
51,1,26.85,184
25,2,22.2,168
16,3,17.65,168
12,3,16.68,232
15,2,20.22,235
18,3,23.68,214
28,2,30.97,217
39,3,35.72,198
55,0,37.12,226
57,3,30.53,228
28,5,21.43,222
33,5.99,25.35,219
34,5.99,28.73,223
39,5,32.12,236
43,5,32.74,221
5,3,-12.28,354
24,4,24.65,223
27,5,27.49,220
32,5,29.01,214
20,5,22.85,221
18,3,17.9,331
24,4,23.8,225
24,3,21.24,206
,4,,
33,5,34.18,215
30,4,35.31,217
36,5.99,37.27,237
40,4,38.16,224
34,3,26.96,164
24,4,24.65,176
22,5,25.12,244
23,4,28.73,218
28,5,30.97,203
33,4,33.3,228
39,3,35.72,211
53,2,38.04,226
60,2,37.47,220
69,0,38.21,11
72,1,36.42,231
76,0,36.84,244
81,1,36.53,240
85,0,34.82,186
54,4,41.32,222
36,4,37.27,232
38,5.99,37.75,233
42,4,39.42,230
45,5,40.28,208
51,4,41.69,221
62,3,42.11,217
76,1,42.66,221
31,5,29.99,208
33,3,28.88,241
40,3,30.04,217
51,2,31.49,233
56,0,31.02,224
61,1,30.33,219
67,1,30.76,219
70,1,31.86,219
72,0,31.6,222
76,1,32.96,167
79,0,32.96,230
83,1,32.26,330
87,0,31.47,240
89,0,31.06,231
89,0,32.05,180
25,5,24.77,239
26,5,27.43,227
24,5,26.36,217
24,5,26.36,209
24,5,24.65,242
30,5,28.31,218
35,4,25.88,209
46,2,29.85,223
54,2,31.05,183
63,0,32.08,219
68,0,31.13,217
74,0,31.32,306
76,0,31.02,238
78,0,29.72,182
81,0,29.69,246
81,0,28.71,335
81,0,27.74,343
83,0,27.36,220
82,1,26.08,216
81,0,27.74,220
61,2,25.6,167
26,2,18.83,157
18,4,19.55,336
19,4,23.3,236
22,5.99,26.81,230
27,5,32.67,225
27,4,32.67,237
29,5,34.45,234
34,5,35.82,215
37,3,37.07,208
41,2,36.99,234
54,0,38.52,179
63,0,38.73,23
69,0,38.21,257
74,0,38.09,229
79,0,37.83,205
82,0,37.82,239
85,0,36.78,225
88,0,36.69,331
91,0,36.56,234
92,1,35.85,177
94,0,35.41,222
95,0,35.68,177
92,1,35.85,214
74,2,36.15,218
37,4,32.6,154
33,4,36.83,225
34,7,38.48,223
34,5.99,40.25,229
30,5,38.8,214
32,5,39.58,231
31,5,37.01,219
31,5,34.38,228
35,4,35.66,87
44,3,38.79,220
53,4,41.77,218
60,3,42.19,222
69,1,42.05,247
75,1,41.34,234
81,0,40.43,245
89,0,39.94,172
91,0,38.54,230
93,0,38.11,325
93,0,37.12,229
94,0,36.41,338
94,0,35.41,329
92,1,35.85,185
71,2,34.14,178
38,2,31.47,176
26,4,30.88,222
26,4,32.6,220
26,4,33.46,211
31,5,37.89,219
35,5.99,40.11,241
39,5,41.12,216
44,5,42.44,226
45,4,42.11,230
43,4,38.2,214
50,3,39.33,228
68,0,40.71,219
75,0,41.34,178
80,1,41.08,5
81,0,40.43,253
82,1,39.77,185
86,0,39.05,180
88,0,38.66,166
90,0,38.26,223
92,1,37.84,340
86,0,39.05,336
83,0,40.09,164
78,1,40.42,162
45,3,39.37,191
39,4,41.12,225
32,5.99,36.94,223
32,5,39.58,229
28,4,36.18,227
28,4,34.44,233
32,5,36.06,241
36,4,37.27,224
39,4,37.52,229
43,4,37.29,218
49,2,37.88,231
60,0,39.36,221
68,1,38.79,174
75,1,38.43,222
80,0,38.16,186
84,1,38.44,206
87,1,37.38,335
88,1,36.69,168
88,2,34.72,171
88,0,33.73,12
87,0,32.46,344
86,0,32.17,220
86,1,33.15,241
60,2,28.97,177
29,3,24,165
22,2,25.96,218
24,5.99,31.47,224
25,5,34.2,217
32,5,39.58,243
37,5,41.55,216
37,5,40.65,218
36,5.99,38.16,220
35,4,36.55,207
37,2,35.28,240
53,1,38.97,40
63,0,39.68,23
70,0,39.54,355
76,1,39.75,338
74,0,37.12,228
73,1,35.81,329
72,1,34.49,175
69,1,32.45,233
68,0,31.13,218
70,0,29.93,187
70,1,29.93,228
74,0,30.35,219
75,1,31.66,243
54,2,30.12,184
29,3,28.36,155
19,3,29.12,237
19,5,29.95,218
21,5.99,34.09,215
22,5,36.94,222
22,5.99,36.1,226
23,5,35.52,229
23,5,34.67,209
25,4,34.2,235
28,4,34.44,214
37,0,36.18,221
49,0,38.81,334
57,0,38.98,335
63,0,39.68,219
67,0,38.41,349
73,1,37.74,229
76,0,37.81,214
79,0,37.83,347
80,0,37.18,170
81,1,36.53,14
81,0,36.53,343
79,0,37.83,175
59,2,36.1,154
34,2,34.05,168
21,5,31.57,228
24,5,35.74,217
23,4,37.22,335
21,5,34.93,210
21,4,34.09,224
22,5,33.56,216
25,4,35.91,224
29,4,36.2,219
33,4,36.83,227
38,2,36.86,220
42,3,37.6,176
49,0,39.73,15
57,0,41.79,159
63,1,40.63,342
66,1,40.89,238
69,0,40.13,18
72,1,39.31,164
75,0,38.43,349
76,0,37.81,216
77,0,37.17,332
78,0,36.53,12
79,0,36.86,201
56,3,34.77,167
31,2,32.62,193
24,4,34.03,226
25,5,36.77,207
27,5.99,38.72,230
26,4,40.34,229
29,5,41.42,216
38,4,46.73,228
42,4,47.58,214
46,4,47.27,214
47,3,45.09,215
48,4,43.8,229
53,2,44.56,223
57,2,44.61,237
61,0,44.52,222
64,0,44.84,187
70,0,45.31,161
74,1,44.86,182
80,0,44.01,186
84,0,43.34,177
84,1,43.34,241
88,1,43.59,165
89,1,42.9,225
90,1,43.2,186
80,3,45.96,175
55,3,46.47,230
48,5.99,45.64,208
44,5,45.18,220
38,5,43.14,224
33,4,39.49,219
33,5,37.72,225
37,5,37.07,201
36,4,35.49,204
37,4,34.39,210
38,4,32.37,212
44,4,33.32,222
51,2,35.2,230
58,1,35.66,173
64,0,35.33,217
70,0,35.7,244
74,0,35.19,188
81,0,34.57,240
85,0,34.82,226
87,0,34.43,213
89,1,34.02,172
90,0,33.32,176
89,0,32.05,172
86,2,33.15,180
61,3,33.17,219
51,5,34.27,209
54,5.99,33.85,217
