YNWC1,relative_humidity_set_1,wind_speed_set_1,dew_point_temperature_set_1d,peak_wind_direction_set_1
L,37,0,28.13,162
B,40,1,30.04,188
R,36,3,26.56,173
L,36,2,25.67,178
B,36,2,27.46,128
R,31,2,23.85,160
L,52,4,32.91,220
B,22,1,13.29,175
R,38,3,27.88,236
L,29,4,22.26,203
B,21,4,21.48,212
R,27,2,27.49,163
L,31,2,30.87,167
B,26,2,32.6,177
R,23,3,28.73,204
L,28,2,32.71,176
B,22,2,27.65,182
R,23,5,26.18,195
L,51,5,29.64,242
B,29,4,23.13,208
R,24,4,21.24,215
L,22,3,22.58,226
B,18,3,21.2,216
R,23,3,21.09,215
L,45,5,24.74,215
B,46,5.99,27.1,209
R,45,5,24.74,215
L,49,4,24.03,230
B,43,4,21.82,225
R,30,5,19.57,235
L,22,3,17.51,229
B,16,2,20.91,163
R,51,1,26.85,184
L,25,2,22.2,168
B,16,3,17.65,168
R,12,3,16.68,232
L,15,2,20.22,235
B,18,3,23.68,214
R,28,2,30.97,217
L,39,3,35.72,198
B,55,0,37.12,226
R,57,3,30.53,228
L,28,5,21.43,222
B,33,5.99,25.35,219
R,34,5.99,28.73,223
L,39,5,32.12,236
B,43,5,32.74,221
R,5,3,-12.28,354
L,24,4,24.65,223
B,27,5,27.49,220
R,32,5,29.01,214
L,20,5,22.85,221
B,18,3,17.9,331
R,24,4,23.8,225
