OBJECTID,poly_SourceOID,poly_IncidentName,poly_FeatureCategory,poly_MapMethod,poly_GISAcres,poly_CreateDate,poly_DateCurrent,poly_PolygonDateTime,poly_IRWINID,poly_FORID,poly_Acres_AutoCalc,poly_SourceGlobalID,poly_Source,attr_SourceOID,attr_ABCDMisc,attr_ADSPermissionState,attr_CalculatedAcres,attr_ContainmentDateTime,attr_ControlDateTime,attr_CreatedBySystem,attr_IncidentSize,attr_DiscoveryAcres,attr_DispatchCenterID,attr_EstimatedCostToDate,attr_FinalAcres,attr_FFReportApprovedByTitle,attr_FFReportApprovedByUnit,attr_FFReportApprovedDate,attr_FireBehaviorGeneral,attr_FireBehaviorGeneral1,attr_FireBehaviorGeneral2,attr_FireBehaviorGeneral3,attr_FireCause,attr_FireCauseGeneral,attr_FireCauseSpecific,attr_FireCode,attr_FireDepartmentID,attr_FireDiscoveryDateTime,attr_FireMgmtComplexity,attr_FireOutDateTime,attr_FireStrategyConfinePercent,attr_FireStrategyFullSuppPrcnt,attr_FireStrategyMonitorPercent,attr_FireStrategyPointZonePrcnt,attr_FSJobCode,attr_FSOverrideCode,attr_GACC,attr_ICS209ReportDateTime,attr_ICS209RptForTimePeriodFrom,attr_ICS209RptForTimePeriodTo,attr_ICS209ReportStatus,attr_IncidentManagementOrg,attr_IncidentName,attr_IncidentShortDescription,attr_IncidentTypeCategory,attr_IncidentTypeKind,attr_InitialLatitude,attr_InitialLongitude,attr_InitialResponseAcres,attr_InitialResponseDateTime,attr_IrwinID,attr_IsFireCauseInvestigated,attr_IsFireCodeRequested,attr_IsFSAssisted,attr_IsMultiJurisdictional,attr_IsReimbursable,attr_IsTrespass,attr_IsUnifiedCommand,attr_LocalIncidentIdentifier,attr_ModifiedBySystem,attr_PercentContained,attr_PercentPerimToBeContained,attr_POOCity,attr_POOCounty,attr_POODispatchCenterID,attr_POOFips,attr_POOJurisdictionalAgency,attr_POOJurisdictionalUnit,attr_POOJurisdictUnitParentUnit,attr_POOLandownerCategory,attr_POOLandownerKind,attr_POOLegalDescPrincipalMerid,attr_POOLegalDescQtr,attr_POOLegalDescQtrQtr,attr_POOLegalDescRange,attr_POOLegalDescSection,attr_POOLegalDescTownship,attr_POOPredictiveServiceAreaID,attr_POOProtectingAgency,attr_POOProtectingUnit,attr_POOState,attr_PredominantFuelGroup,attr_PredominantFuelModel,attr_PrimaryFuelModel,attr_SecondaryFuelModel,attr_TotalIncidentPersonnel,attr_UniqueFireIdentifier,attr_FORID,attr_WFDSSDecisionStatus,attr_EstimatedFinalCost,attr_OrganizationalAssessment,attr_StratDecisionPublishDate,attr_CreatedOnDateTime_dt,attr_ModifiedOnDateTime_dt,attr_Source,attr_IsCpxChild,attr_CpxName,attr_CpxID,attr_SourceGlobalID,GlobalID,Shape__Area,Shape__Length
1488,,Yosemite Creek,Wildfire Daily Fire Perimeter,GPS-Walked,0.657154511198427,7/30/2021 12:09:50 AM,9/7/2021 12:38:39 AM,,{A7D08D23-4AE7-44AF-A7F4-33F42217EE16},,0.657152030651762,{6BCA5187-9A28-4DE7-B9BA-B7B4E318C0CB},2021 NIFS,20682396,,CERTIFIED,,7/28/2021 12:23:00 AM,,wildcad,0.75,0.8,CAYPCC,,,,,9/21/2021 5:28:17 PM,,,,,Natural,Lightning,,N61L,,7/27/2021 6:46:00 PM,,8/5/2021 11:19:00 PM,,,,,,,OSCC,,,,,,Yosemite Creek,,WF,FI,37.8531,-119.5918,,7/27/2021 6:50:00 PM,{A7D08D23-4AE7-44AF-A7F4-33F42217EE16},,0,1,0,0,0,,000081,INFORM_Inspector,,,,Mariposa,CAYPCC,06043,NPS,CAYNP,,NPS,Federal,,,,,,,SC02,NPS,CAYNP,US-CA,Timber,TL8,,,,2021-CAYNP-000081,,No Decision,,,,7/27/2021 6:47:05 PM,9/21/2021 5:28:20 PM,IRWIN,0,,,{A7D08D23-4AE7-44AF-A7F4-33F42217EE16},298444bf-8bdf-4e4a-b499-d64da3d7f4d1,2.72249963018112E-07,0.0023575497453943
1591,,Lukens,Wildfire Daily Fire Perimeter,Auto-generated,0.1,9/11/2022 1:57:17 PM,9/12/2022 12:51:47 AM,9/11/2022 6:55:00 PM,{282BC612-C485-4070-8B37-6648D3ABCCEC},,0.100051282579015,{88AD840F-E18E-419F-A776-08C0B0D5AABE},2022 NIFS,23860309,,DEFAULT,,,,wildcad,0.1,0.1,CAYPCC,,,,,,,,,,Undetermined,,,P15X,,9/11/2022 1:55:00 PM,,,,,,,,,OSCC,,,,,,False Alarm #1,,WF,FI,37.85044,-119.6153,,,{282BC612-C485-4070-8B37-6648D3ABCCEC},,0,1,0,0,0,,000074,wildcad,,,,Mariposa,CAYPCC,06043,NPS,CAYNP,,NPS,Federal,,,,,,,SC02,NPS,CAYNP,US-CA,,,,,,2022-CAYNP-000074,,No Decision,,,,9/11/2022 1:57:06 PM,10/6/2022 12:03:56 AM,IRWIN,0,,,{73E076C8-166A-4DF2-8EFF-120D53873E63},b007d086-d9a2-4dc3-a2ff-8915e8069bac,4.14488567912485E-08,0.000936724031202948
2618,,Mirror,Wildfire Daily Fire Perimeter,GPS-Walked,4.98962796145319,7/14/2022 7:20:57 PM,7/14/2022 9:12:31 PM,7/12/2022 7:42:54 PM,{C98F07EB-AD1B-428E-B243-E9630046B136},,4.98960908878319,{5BE65905-9AD2-4E9D-860A-FAECBABD1981},2022 NIFS,23845169,,DEFAULT,,,,IROC,,,CAYPCC,,,,,,,,,,,,,,,7/10/2022 4:26:00 PM,,,,,,,,,OSCC,,,,,,Mirror,,WF,FI,,,,,{C98F07EB-AD1B-428E-B243-E9630046B136},,0,,,,,,000042,IROC,,,,Mariposa,CAYPCC,06043,NPS,CAYNP,,NPS,Federal,,,,,,,SC02,NPS,CAYNP,US-CA,,,,,,2022-CAYNP-000042,,No Decision,,,,7/10/2022 5:40:51 PM,7/10/2022 5:40:51 PM,IRWIN,0,,,{3A1F1DD2-49C1-4568-9936-24EF6FE88D10},5022c92c-83ae-459d-a451-d3e6816c70c6,2.06449294637423E-06,0.0130780070234464
4074,7120,Obelisk,Wildfire Final Fire Perimeter,Auto-generated,0.1,,3/14/2023 3:13:42 PM,10/5/2022 11:47:25 PM,{7EB3D59A-7931-4758-8AC2-88A289319F2C},{AD8EB2A5-0A97-42C8-AF15-211B1E569355},0.240306504891825,,FFP,3245961,,CERTIFIED,0.34,,,wildcad,0.1,,CAYPCC,,,,,10/5/2022 11:47:22 PM,,,,,,,,P14B,,9/9/2022 11:02:00 PM,,9/10/2022 1:00:00 AM,,,,,,,OSCC,,,,,,OBELISK,,WF,FI,37.71339,-119.4576,,9/9/2022 11:07:00 PM,,,,1,,,0,,000070,firecode,,,,Mariposa,CAYPCC,06043,NPS,CAYNP,,NPS,Federal,,,,,,,,NPS,CAYNP,US-CA,Timber,TL8,,,,2022-CAYNP-000070,{AD8EB2A5-0A97-42C8-AF15-211B1E569355},,,,,9/9/2022 11:05:09 PM,9/9/2022 11:05:17 PM,FODR,,,,{FB2D4295-85C8-41C5-AB5B-98F28D7F375A},78fb89ad-2d92-4107-b243-c6fd87665da3,9.93727553577628E-08,0.00113019235356143
4319,7118,Alder ,Wildfire Final Fire Perimeter,Auto-generated,0.1,,3/14/2023 3:13:42 PM,10/5/2022 11:59:18 PM,{4C25A2F6-E075-4549-852D-01D16AE8F36D},{5397DEC8-E8A1-4393-BF56-E588D1A8DF42},0.240293667988716,,FFP,3245126,,CERTIFIED,0.34,,9/7/2022 1:07:00 AM,wildcad,0.1,,CAYPCC,,,,,10/5/2022 11:59:15 PM,,,,,,,,P1UW,,9/6/2022 12:31:00 AM,,9/7/2022 1:07:00 AM,,,,,,,OSCC,,,,,,Alder ,,WF,FI,37.57714,-119.6974,,9/6/2022 12:32:00 AM,,,,1,,,0,,000067,wildcad,,,,Mariposa,CAYPCC,06043,NPS,CAYNP,,NPS,Federal,,,,,,,,NPS,CAYNP,US-CA,Brush,SH5,,,,2022-CAYNP-000067,{5397DEC8-E8A1-4393-BF56-E588D1A8DF42},,,,,9/6/2022 12:41:37 AM,9/30/2022 2:47:45 PM,FODR,,,,{6CDE62F8-A17A-4317-A172-26ADE3B3EF5D},184becfd-5f7f-440d-8046-66e655baa731,9.91772139968816E-08,0.00112891345721261
5392,7121,Mirror,Wildfire Final Fire Perimeter,GPS-Walked,4.989628,,3/14/2023 3:13:42 PM,10/5/2022 11:07:38 PM,{4E6B5F76-132A-4B8D-B611-352A4797AFE5},{114114CE-4984-47D7-B812-97C76077F54F},4.98960933376635,,FFP,3160117,,CERTIFIED,14.98,7/13/2022 12:36:00 AM,7/15/2022 1:00:00 AM,wildcad,5,,CAYPCC,,,,,10/5/2022 11:07:35 PM,,,,,,,,PU5B,,7/10/2022 4:26:00 PM,,7/14/2022 10:45:00 PM,,,,,,,OSCC,,,,,,Mirror,,WF,FI,37.75807,-119.5353,,7/10/2022 7:00:00 PM,,,,1,,,0,,010042,wildcad,,,,Mariposa,CAYPCC,06043,NPS,CAYNP,,NPS,Federal,,,,,,,,NPS,CAYNP,US-CA,Timber,TL8,,,,2022-CAYNP-010042,{114114CE-4984-47D7-B812-97C76077F54F},,,,,7/10/2022 5:40:51 PM,10/5/2022 10:55:36 PM,FODR,,,,{AB7E8D02-53C4-4B18-9DF2-3AC05E0F82C9},2eec246f-2c42-40a8-8303-c05c4e02ba2f,2.06449203687953E-06,0.0130780098747952
7748,11329,Half Moon,Wildfire Daily Fire Perimeter,GPS-Walked,2.124367,,3/14/2023 3:13:42 PM,7/27/2021 12:01:01 AM,{7BAAFF40-B7B8-4D8F-A532-6861448FA0D5},{1F56DBE0-0CA8-4847-939D-B64D8631DDBC},2.12342553067545,,FFP,3102188,,CERTIFIED,7.12,8/7/2021 12:10:00 AM,,wildcad,5,,CAYPCC,,,,,9/21/2021 10:21:46 PM,,,,,,,,N4D0,,7/1/2021 4:45:00 PM,Type 5 Incident,8/8/2021 2:14:00 AM,,,,,,,OSCC,,,,,,Half Moon,,WF,FI,37.88918,-119.5501,,7/1/2021 4:55:00 PM,,,,1,,,0,,000051,INFORM_Inspector,,,Yosemite National Park,Mariposa,CAYPCC,06043,NPS,CAYNP,,NPS,Federal,,,,,,,,NPS,CAYNP,US-CA,Timber,TL1,,,,2021-CAYNP-000051,{1F56DBE0-0CA8-4847-939D-B64D8631DDBC},,,,,7/1/2021 4:45:29 PM,9/21/2021 10:21:47 PM,FODR,,,,{CB53BD8E-DD07-4BF0-858E-6367FD31E69E},47685b65-a1ff-4630-a67f-faa393ffeb5a,8.80148490978172E-07,0.0107534287177036
8091,7122,Empire,Wildfire Final Fire Perimeter,Auto-generated,0.25,,3/14/2023 3:13:42 PM,10/5/2022 10:47:37 PM,{3CD5A977-9317-43B0-B750-1A319E049955},{35BA06BF-E937-4ADD-A425-0A00E3C067B6},0.600876780033822,,FFP,3246123,,CERTIFIED,0.85,9/13/2022 11:05:00 PM,,wildcad,0.25,,CAYPCC,,,,,10/5/2022 10:47:34 PM,,,,,,,,P15S,,9/10/2022 11:12:00 PM,,9/30/2022 10:00:00 PM,,,,,,,OSCC,,,,,,EMPIRE,,WF,FI,37.61594,-119.641,,9/13/2022 4:00:00 PM,,,,1,,,0,,000073,wildcad,,,,Mariposa,CAYPCC,06043,NPS,CAYNP,,NPS,Federal,,,,,,,,NPS,CAYNP,US-CA,Timber,TL8,,,,2022-CAYNP-000073,{35BA06BF-E937-4ADD-A425-0A00E3C067B6},,,,,9/10/2022 11:13:53 PM,9/30/2022 2:48:39 PM,FODR,,,,{5DE0060E-4689-44AF-93CD-561457FC4BA6},e61fb7ce-01d7-4103-8974-94f4deb953b3,2.48155174631393E-07,0.00178573325744112
10593,11330,King,Wildfire Daily Fire Perimeter,Mixed Methods,11.13953,,3/14/2023 3:13:42 PM,7/1/2021 12:00:00 AM,{F3AF4ED3-9B32-4714-B433-F303E5A61844},{61DD4346-3A79-46F9-9EE6-6C2C851AD4C4},11.1347091126014,,FFP,3101738,,CERTIFIED,11.13,7/6/2021 8:52:00 PM,,wildcad,10,,CAYPCC,,,,,9/21/2021 10:12:29 PM,,,,,,,,N36T,,6/30/2021 12:01:00 AM,,9/2/2021 4:00:00 PM,,,,,,,OSCC,,,,,,King,,WF,FI,37.71077,-119.53458,,6/30/2021 12:15:00 AM,,,,1,,,0,,000042,INFORM_Inspector,,,,Mariposa,CAYPCC,06043,NPS,CAYNP,,NPS,Federal,,,,,,,,NPS,CAYNP,US-CA,Brush,SH8,,,,2021-CAYNP-000042,{61DD4346-3A79-46F9-9EE6-6C2C851AD4C4},,,,,6/30/2021 12:16:34 AM,9/21/2021 10:12:38 PM,FODR,,,,{150AF802-9D41-4955-9D33-1441C2C19E2A},217addb3-fca7-4d5c-8da5-54debfafbfef,4.60440651295357E-06,0.00826385688582057
11112,10640,Fork,Wildfire Daily Fire Perimeter,GPS-Walked,8.55746,,3/14/2023 3:13:42 PM,7/29/2021 7:18:01 PM,{C30EBDD5-47D7-4C9E-9228-C133A1B324DA},{D1387F15-08E6-4DC2-A64B-472BB6A84E69},8.55742745355928,,FFP,3102175,,CERTIFIED,8.56,7/12/2021 9:02:00 PM,,wildcad,12,,CAYPCC,,,,,11/15/2021 11:38:17 PM,,,,,,,,N4DS,,7/1/2021 4:14:00 PM,,9/2/2021 4:00:00 PM,,,,,,,OSCC,,,,,,Fork,,WF,FI,37.69668,-119.5489,,7/1/2021 5:54:00 PM,,,,1,,,0,,000049,INFORM_Inspector,,,,Mariposa,CAYPCC,06043,NPS,CAYNP,,NPS,Federal,,,,,,,,NPS,CAYNP,US-CA,Timber,TL8,,,,2021-CAYNP-000049,{D1387F15-08E6-4DC2-A64B-472BB6A84E69},,,,,7/1/2021 4:25:12 PM,11/15/2021 11:38:17 PM,FODR,,,,{EB23575E-6C02-4D46-B7AB-34767C9E33D3},5ebdc43f-4f2f-4c62-8757-7a1c55e1fdea,3.53786435880465E-06,0.0136938321560502
